
Vnominal = 11.5;
BusSE = 201;

			bus		Tb		PD		QD		QC
			1		0		10		5		0
			2		0		135		68		0
			3		0		80		60		0
			4		0		50		30		0
			5		0		127		64		0
			6		0		57		29		0
			7		0		92		46		0
			8		0		10		5		0
			9		0		135		68		0
			10		0		23		12		0
			11		0		86		43		0
			12		0		10		5		0
			13		0		75		38		0
			14		0		79		40		0
			15		0		90		40		0
			16		0		10		5		0
			17		0		86		43		0
			18		0		33		17		0
			19		0		14		7		0
			20		0		12		10		0
			21		0		216		108		0
			22		0		86		43		0
			23		0		86		43		0
			24		0		86		43		0
			25		0		135		68		0
			26		0		116		58		0
			27		0		90		10		0
			28		0		86		43		0
			29		0		270		135		0
			30		0		86		43		0
			31		0		86		43		0
			32		0		10		5		0
			33		0		134		67		0
			34		0		216		108		0
			35		0		135		68		0
			36		0		86		43		0
			37		0		10		5		0
			38		0		100		60		0
			39		0		107		54		0
			40		0		135		68		0
			41		0		78		39		0
			42		0		64		32		0
			43		0		150		120		0
			44		0		135		68		0
			45		0		135		68		0
			46		0		135		68		0
			47		0		96		48		0
			48		0		86		43		0
			49		0		10		5		0
			50		0		135		68		0
			51		0		135		68		0
			52		0		135		68		0
			53		0		200		120		0
			54		0		47		24		0
			55		0		135		68		0
			56		0		14		7		0
			57		0		86		43		0
			58		0		55		28		0
			59		0		10		5		0
			60		0		67		34		0
			61		0		79		40		0
			62		0		135		68		0
			63		0		86		43		0
			64		0		106		53		0
			65		0		134		67		0
			66		0		86		43		0
			67		0		114		57		0
			68		0		58		29		0
			69		0		63		32		0
			70		0		190		95		0
			71		0		134		67		0
			72		0		43		22		0
			73		0		132		66		0
			74		0		54		27		0
			75		0		10		5		0
			76		0		55		28		0
			77		0		49		25		0
			78		0		91		46		0
			79		0		147		74		0
			80		0		36		18		0
			81		0		60		20		0
			82		0		135		68		0
			83		0		3		2		0
			84		0		58		29		0
			85		0		114		57		0
			86		0		23		12		0
			87		0		23		12		0
			88		0		23		12		0
			89		0		6		3		0
			90		0		10		5		0
			91		0		10		5		0
			92		0		23		12		0
			93		0		20		10		0
			94		0		135		68		0
			95		0		129		65		0
			96		0		8		4		0
			97		0		71		36		0
			98		0		54		27		0
			99		0		18		9		0
			100		0		86		43		0
			101		0		132		66		0
			102		0		79		40		0
			103		0		86		43		0
			104		0		216		108		0
			105		0		135		68		0
			106		0		61		31		0
			107		0		42		21		0
			108		0		24		12		0
			109		0		80		100		0
			110		0		86		43		0
			111		0		135		68		0
			112		0		42		21		0
			113		0		135		68		0
			114		0		30		15		0
			115		0		71		36		0
			116		0		10		5		0
			117		0		10		5		0
			118		0		10		5		0
			119		0		10		5		0
			120		0		88		44		0
			121		0		274		137		0
			122		0		10		5		0
			123		0		40		30		0
			124		0		80		30		0
			125		0		10		5		0
			126		0		90		50		0
			127		0		150		40		0
			128		0		86		43		0
			129		0		135		68		0
			130		0		69		35		0
			131		0		117		59		0
			132		0		135		68		0
			133		0		86		43		0
			134		0		86		43		0
			135		0		10		5		0
			136		0		94		47		0
			137		0		9		5		0
			138		0		135		68		0
			139		0		39		20		0
			140		0		61		31		0
			141		0		170		85		0
			142		0		351		176		0
			143		0		117		59		0
			144		0		22		11		0
			145		0		105		53		0
			146		0		42		21		0
			147		0		92		46		0
			148		0		56		28		0
			149		0		86		43		0
			150		0		135		68		0
			151		0		113		57		0
			152		0		67		34		0
			153		0		86		43		0
			154		0		216		108		0
			155		0		62		31		0
			156		0		135		68		0
			157		0		10		5		0
			158		0		150		80		0
			159		0		50		30		0
			160		0		58		29		0
			161		0		216		108		0
			162		0		11		6		0
			163		0		142		71		0
			164		0		18		9		0
			165		0		41		21		0
			166		0		171		86		0
			167		0		10		5		0
			168		0		10		5		0
			169		0		87		44		0
			170		0		10		5		0
			171		0		30		15		0
			172		0		114		57		0
			173		0		135		68		0
			174		0		80		40		0
			175		0		10		5		0
			176		0		135		68		0
			177		0		216		108		0
			178		0		10		5		0
			179		0		86		43		0
			180		0		91		46		0
			181		0		59		30		0
			182		0		135		68		0
			183		0		71		36		0
			184		0		96		48		0
			185		0		91		46		0
			186		0		10		5		0
			187		0		186		93		0
			188		0		10		5		0
			189		0		10		5		0
			190		0		146		73		0
			191		0		23		12		0
			192		0		23		12		0
			193		0		23		12		0
			194		0		23		12		0
			195		0		40		20		0
			196		0		30		10		0
			197		0		200		100		0
			198		0		150		60		0
			199		0		80		40		0
			200		0		58		29		0
			201		1		0		0		0

			env		rec		line		L		cond		R		X
			91		1		1		1.120		4		0.2164		0.2552
			6		2		2		0.170		1		0.0621		0.0428
			12		3		3		0.186		4		0.0359		0.0424
			17		4		4		0.402		2		0.1174		0.0991
			4		5		5		0.162		2		0.0473		0.0399
			5		6		6		0.132		2		0.0386		0.0326
			8		7		7		0.312		1		0.1140		0.0786
			2		8		8		0.048		1		0.0175		0.0121
			10		9		9		0.192		4		0.0371		0.0438
			14		10		10		0.546		4		0.1055		0.1244
			3		11		11		0.276		4		0.0533		0.0629
			1		12		12		0.132		4		0.0255		0.0301
			1		13		13		0.054		1		0.0197		0.0136
			11		14		14		0.432		4		0.0835		0.0985
			13		15		15		0.324		1		0.1184		0.0816
			1		16		16		0.288		2		0.0841		0.0710
			16		17		17		0.384		2		0.1122		0.0947
			7		18		18		0.072		1		0.0263		0.0181
			2		19		19		2.004		1		0.7325		0.5050
			56		20		20		0.708		1		0.2588		0.1784
			32		21		21		0.144		1		0.0526		0.0363
			54		22		22		0.252		1		0.0921		0.0635
			53		23		23		0.240		1		0.0877		0.0605
			43		24		24		0.420		1		0.1535		0.1058
			52		25		25		0.330		1		0.1206		0.0832
			55		26		26		0.312		1		0.1140		0.0786
			22		27		27		0.228		1		0.0833		0.0575
			23		28		28		0.312		1		0.1140		0.0786
			25		29		29		0.180		1		0.0658		0.0454
			26		30		30		0.336		1		0.1228		0.0847
			36		31		31		0.348		1		0.1272		0.0877
			83		32		32		0.138		2		0.0403		0.0340
			28		33		33		0.378		1		0.1382		0.0953
			24		34		34		0.420		1		0.1535		0.1058
			27		35		35		0.300		1		0.1097		0.0756
			41		36		36		0.222		1		0.0811		0.0559
			34		37		37		0.264		1		0.0965		0.0665
			48		38		38		0.288		1		0.1053		0.0726
			46		39		39		0.300		1		0.1097		0.0756
			42		40		40		0.384		1		0.1404		0.0968
			45		41		41		0.084		1		0.0307		0.0212
			47		42		42		0.264		1		0.0965		0.0665
			19		43		43		0.048		1		0.0175		0.0121
			35		44		44		0.432		1		0.1579		0.1089
			49		45		45		0.120		1		0.0439		0.0302
			20		46		46		0.276		1		0.1009		0.0696
			49		47		47		0.240		1		0.0877		0.0605
			44		48		48		0.144		1		0.0526		0.0363
			20		49		49		0.120		1		0.0439		0.0302
			19		50		50		0.288		1		0.1053		0.0726
			50		51		51		0.228		1		0.0833		0.0575
			21		52		52		0.132		1		0.0482		0.0333
			50		53		53		0.180		1		0.0658		0.0454
			32		54		54		0.144		1		0.0526		0.0363
			51		55		55		0.384		1		0.1404		0.0968
			124		56		56		0.300		1		0.1097		0.0756
			61		57		57		0.425		1		0.1553		0.1071
			69		58		58		0.176		1		0.0643		0.0444
			57		59		59		0.036		1		0.0132		0.0091
			59		60		60		0.144		1		0.0526		0.0363
			63		61		61		0.198		1		0.0724		0.0499
			60		62		62		0.360		1		0.1316		0.0907
			66		63		63		0.148		1		0.0541		0.0373
			70		64		64		0.234		1		0.0855		0.0590
			67		65		65		0.216		1		0.0789		0.0544
			88		66		66		0.354		2		0.1034		0.0873
			66		67		67		0.283		1		0.1034		0.0713
			58		68		68		0.070		1		0.0256		0.0176
			65		69		69		0.210		1		0.0768		0.0529
			62		70		70		0.074		1		0.0270		0.0186
			72		71		71		0.324		1		0.1184		0.0816
			76		72		72		0.252		1		0.0921		0.0635
			71		73		73		0.072		1		0.0263		0.0181
			80		74		74		0.276		1		0.1009		0.0696
			71		75		75		0.180		1		0.0658		0.0454
			58		76		76		1.272		1		0.4649		0.3205
			76		77		77		0.168		1		0.0614		0.0423
			77		78		78		0.072		1		0.0263		0.0181
			72		79		79		0.240		1		0.0877		0.0605
			75		80		80		0.174		1		0.0636		0.0438
			79		81		81		0.240		1		0.0877		0.0605
			78		82		82		0.792		1		0.2895		0.1996
			117		83		83		0.132		2		0.0386		0.0326
			67		84		84		0.096		1		0.0351		0.0242
			10		85		85		0.144		1		0.0526		0.0363
			91		86		86		0.053		2		0.0155		0.0131
			9		87		87		0.450		1		0.1645		0.1134
			87		88		88		0.264		4		0.0510		0.0602
			82		89		89		0.397		1		0.1451		0.1000
			85		90		90		0.312		1		0.1140		0.0786
			201		91		91		1.277		4		0.2467		0.2910
			67		92		92		0.276		1		0.1009		0.0696
			119		93		93		1.291		4		0.2494		0.2942
			111		94		94		0.108		1		0.0395		0.0272
			116		95		95		0.258		1		0.0943		0.0650
			115		96		96		0.144		1		0.0526		0.0363
			93		97		97		0.132		1		0.0482		0.0333
			101		98		98		0.168		1		0.0614		0.0423
			100		99		99		0.192		1		0.0702		0.0484
			95		100		100		0.348		1		0.1272		0.0877
			99		101		101		0.180		1		0.0658		0.0454
			109		102		102		0.252		1		0.0921		0.0635
			83		103		103		0.240		2		0.0701		0.0592
			103		104		104		0.204		1		0.0746		0.0514
			110		105		105		0.216		1		0.0789		0.0544
			83		106		106		0.216		1		0.0789		0.0544
			108		107		107		0.204		1		0.0746		0.0514
			83		108		108		0.156		2		0.0456		0.0385
			83		109		109		0.144		1		0.0526		0.0363
			93		110		110		0.216		1		0.0789		0.0544
			114		111		111		0.132		1		0.0482		0.0333
			93		112		112		0.108		1		0.0395		0.0272
			112		113		113		0.252		1		0.0921		0.0635
			113		114		114		0.156		1		0.0570		0.0393
			97		115		115		0.204		1		0.0746		0.0514
			96		116		116		0.132		1		0.0482		0.0333
			121		117		117		0.660		2		0.1928		0.1628
			93		118		118		0.348		2		0.1017		0.0858
			122		119		119		1.500		4		0.2898		0.3419
			118		120		120		0.042		1		0.0154		0.0106
			118		121		121		0.168		2		0.0491		0.0414
			201		122		122		0.084		4		0.0162		0.0191
			157		123		123		0.336		1		0.1228		0.0847
			127		124		124		0.072		1		0.0263		0.0181
			123		125		125		0.096		1		0.0351		0.0242
			123		126		126		0.096		1		0.0351		0.0242
			126		127		127		0.888		1		0.3246		0.2238
			159		128		128		0.936		4		0.1808		0.2133
			140		129		129		0.192		1		0.0702		0.0484
			129		130		130		0.180		1		0.0658		0.0454
			152		131		131		0.288		1		0.1053		0.0726
			156		132		132		0.372		1		0.1360		0.0937
			153		133		133		0.324		1		0.1184		0.0816
			151		134		134		0.252		1		0.0921		0.0635
			131		135		135		0.492		1		0.1798		0.1240
			155		136		136		0.276		1		0.1009		0.0696
			154		137		137		0.348		1		0.1272		0.0877
			142		138		138		0.204		1		0.0746		0.0514
			132		139		139		0.348		1		0.1272		0.0877
			128		140		140		0.132		1		0.0482		0.0333
			135		141		141		0.264		1		0.0965		0.0665
			149		142		142		0.324		1		0.1184		0.0816
			136		143		143		0.312		1		0.1140		0.0786
			145		144		144		0.108		1		0.0395		0.0272
			148		145		145		0.180		1		0.0658		0.0454
			141		146		146		0.348		1		0.1272		0.0877
			143		147		147		0.312		1		0.1140		0.0786
			56		148		148		0.228		1		0.0833		0.0575
			147		149		149		0.072		1		0.0263		0.0181
			128		150		150		0.108		1		0.0395		0.0272
			150		151		151		0.180		1		0.0658		0.0454
			140		152		152		0.300		1		0.1097		0.0756
			128		153		153		0.144		1		0.0526		0.0363
			150		154		154		0.228		1		0.0833		0.0575
			153		155		155		0.132		1		0.0482		0.0333
			130		156		156		0.120		1		0.0439		0.0302
			199		157		157		0.072		1		0.0263		0.0181
			189		158		158		1.200		4		0.2318		0.2735
			179		159		159		0.144		4		0.0278		0.0328
			158		160		160		0.276		1		0.1009		0.0696
			182		161		161		0.276		1		0.1009		0.0696
			183		162		162		0.312		1		0.1140		0.0786
			184		163		163		0.300		1		0.1097		0.0756
			163		164		164		0.108		1		0.0395		0.0272
			185		165		165		0.192		4		0.0371		0.0438
			186		166		166		0.348		2		0.1017		0.0858
			187		167		167		0.300		1		0.1097		0.0756
			161		168		168		0.252		1		0.0921		0.0635
			165		169		169		0.192		4		0.0371		0.0438
			162		170		170		0.264		1		0.0965		0.0665
			160		171		171		0.288		1		0.1053		0.0726
			164		172		172		0.456		1		0.1667		0.1149
			169		173		173		0.120		4		0.0232		0.0273
			166		174		174		0.372		2		0.1087		0.0917
			178		175		175		0.216		1		0.0789		0.0544
			179		176		176		0.180		1		0.0658		0.0454
			180		177		177		0.192		1		0.0702		0.0484
			159		178		178		0.228		1		0.0833		0.0575
			173		179		179		0.324		4		0.0626		0.0738
			174		180		180		0.348		2		0.1017		0.0858
			158		181		181		0.336		4		0.0649		0.0766
			181		182		182		0.108		1		0.0395		0.0272
			158		183		183		0.744		2		0.2173		0.1835
			160		184		184		0.432		1		0.1579		0.1089
			181		185		185		0.300		4		0.0580		0.0684
			183		186		186		0.144		2		0.0421		0.0355
			171		187		187		0.300		1		0.1097		0.0756
			189		188		188		0.240		1		0.0877		0.0605
			201		189		189		0.720		4		0.1391		0.1641
			196		190		190		0.036		1		0.0132		0.0091
			198		191		191		0.048		1		0.0175		0.0121
			188		192		192		0.077		1		0.0281		0.0194
			137		193		193		0.042		1		0.0154		0.0106
			134		194		194		0.030		1		0.0110		0.0076
			197		195		195		0.120		1		0.0439		0.0302
			198		196		196		0.228		1		0.0833		0.0575
			188		197		197		0.360		1		0.1316		0.0907
			158		198		198		0.888		1		0.3246		0.2238
			118		199		199		0.252		2		0.0736		0.0621
			199		200		200		0.024		1		0.0088		0.0060
